row,utc,local_edt,observed_sqm_mag_arcsec2,original_H_apparent_deg,sun_alt_geometric_deg,sun_azimuth_deg,sun_alt_geom_tminus30s_deg,sun_alt_geom_tplus30s_deg,moon_alt_geometric_deg,moon_illumination_percent,moon_zenith_separation_deg,aod550_primary_frozen,surface_pressure_hpa,primary_solar_geometry,sqm_nominal_range,comparison_role
1,2025-08-08T00:30:00Z,2025-08-07T20:30:00-04:00,6.22,2.24722529826164,1.9689101838336025,290.1200261607999,2.055881932997064,1.8819844499282936,1.4789675918885905,97.9166387814397,88.52103240811141,0.3300000000,1019.7083,true,false,primary_solar
2,2025-08-08T00:32:00Z,2025-08-07T20:32:00-04:00,6.13,1.92385468776244,1.621485402995346,290.45196828143617,1.7082718523860108,1.5347457965079163,1.7703294699071472,97.92078213567366,88.22967053009285,0.3293333333,1019.7250,true,false,primary_solar
3,2025-08-08T00:34:00Z,2025-08-07T20:34:00-04:00,6.28,1.60459659819553,1.2748101167711232,290.78463801046195,1.3614079450556353,1.1882599658130224,2.0605030938782356,97.92492148751897,87.93949690612176,0.3286666667,1019.7417,true,false,primary_solar
4,2025-08-08T00:36:00Z,2025-08-07T20:36:00-04:00,6.44,1.29002284446048,0.9288976748515292,291.1180577381839,1.0153035347685246,0.8425403329949266,2.349474236921247,97.92905683596705,87.65052576307875,0.3280000000,1019.7583,true,false,primary_solar
5,2025-08-08T00:38:00Z,2025-08-07T20:38:00-04:00,6.61,0.980783895354037,0.5837615312889025,291.4522497947409,0.6699720494653761,0.4976003786690383,2.637228558206008,97.93318818042856,87.362771441794,0.3273333333,1019.7750,true,false,primary_solar
6,2025-08-08T00:40:00Z,2025-08-07T20:40:00-04:00,6.79,0.677602950515425,0.2394151320001998,291.7872365636951,0.32542690774100824,0.15345357606235677,2.9237516984573655,97.93731552126404,87.07624830154263,0.3266666667,1019.7917,true,false,primary_solar
7,2025-08-08T00:42:00Z,2025-08-07T20:42:00-04:00,6.96,0.381258864953437,-0.10412762260691048,292.12304003500805,-0.018318016620286523,-0.18988614715375543,3.2090288971646226,97.941438855087,86.79097110283537,0.3260000000,1019.8083,true,false,primary_solar
8,2025-08-08T00:44:00Z,2025-08-07T20:44:00-04:00,7.16,0.0925501771614769,-0.44685306519425816,292.4596824778288,-0.3612490854243404,-0.5324050947618316,3.4930455663745157,97.94555818227633,86.50695443362548,0.3253333333,1019.8250,true,true,primary_solar
9,2025-08-08T00:46:00Z,2025-08-07T20:46:00-04:00,7.37,-0.187764981872905,-0.7887473000151297,292.7971859953364,-0.7033524312672402,-0.8740893430714131,3.775786908662438,97.94967350227836,86.22421309133756,0.3246666667,1019.8417,true,true,primary_solar
10,2025-08-08T00:47:00Z,2025-08-07T20:47:00-04:00,7.44,-0.324570322554742,-0.9593783400328562,292.96626754922784,-0.8740893430714131,-1.0446140709341563,3.9166746765139377,97.9517296591613,86.08332532348606,0.3243333333,1019.8500,true,true,primary_solar
