local_civil_date,event,window_start_utc,window_end_utc,t_minus6_utc,t_minus7_utc,t_minus8_utc,t_minus12_utc,nearest_sonde_file,nearest_sonde_delta_min,moon_alt_deg_screen,moon_illum_frac_screen,moon_elong_deg_screen,priority_reason,sasze_vis_file,hsrl_file,rlprofbe_file,arscl_file,ceil_file
2024-04-14,dawn,2024-04-14T10:49:16.284137Z,2024-04-14T11:40:52.256339Z,2024-04-14T11:30:52.256339Z,2024-04-14T11:25:40.065622Z,2024-04-14T11:20:26.489560Z,2024-04-14T10:59:16.284137Z,sgpsondewnpnC1.b1.20240414.113900.cdf,13.3,-24.971215152525463,0.3675128343575247,74.63457243538832,moon_alt<=-10deg,sgpsaszevisC1.a1.20240414.000000.nc,sgphsrlC1.a1.20240414.000030.nc,sgprlprofbeC1.c1.20240414.000500.nc,sgparsclkazr1kolliasC1.c0.20240414.000000.nc,sgpceilC1.b1.20240414.000010.nc
2024-02-16,dawn,2024-02-16T12:11:23.238864Z,2024-02-16T13:01:38.922411Z,2024-02-16T12:51:38.922411Z,2024-02-16T12:46:34.692226Z,2024-02-16T12:41:31.180662Z,2024-02-16T12:21:23.238864Z,sgpsondewnpnC1.b1.20240216.112900.cdf,2.2,-30.54138148409991,0.4900608062383447,88.8609772687947,moon_alt<=-10deg,sgpsaszevisC1.a1.20240216.000000.nc,sgphsrlC1.a1.20240216.000000.nc,sgprlprofbeC1.c1.20240216.000500.nc,sgparsclkazr1kolliasC1.c0.20240216.000000.nc,sgpceilC1.b1.20240216.000003.nc
2024-02-02,dusk,2024-02-03T00:12:46.960372Z,2024-02-03T01:03:41.032343Z,2024-02-03T00:22:46.960372Z,2024-02-03T00:27:58.612086Z,2024-02-03T00:33:09.120197Z,2024-02-03T00:53:41.032343Z,sgpsondewnpnC1.b1.20240202.233400.cdf,29.2,-71.59245224317007,0.4954423981884657,89.47773007052409,moon_alt<=-10deg,sgpsaszevisC1.a1.20240203.000000.nc,sgphsrlC1.a1.20240203.000000.nc,sgprlprofbeC1.c1.20240203.000500.nc,sgparsclkazr1kolliasC1.c0.20240203.000000.nc,sgpceilC1.b1.20240203.000015.nc
2024-03-01,dusk,2024-03-02T00:40:52.145935Z,2024-03-02T01:30:49.226960Z,2024-03-02T00:50:52.145935Z,2024-03-02T00:55:52.153394Z,2024-03-02T01:00:51.896523Z,2024-03-02T01:20:49.226960Z,sgpsondewnpnC1.b1.20240301.232400.cdf,-20.4,-62.30714318869125,0.6605244484826645,108.72636958529984,moon_alt<=-10deg,sgpsaszevisC1.a1.20240302.000001.nc,sgphsrlC1.a1.20240302.000030.nc,sgprlprofbeC1.c1.20240302.000500.nc,sgparsclkazr1kolliasC1.c0.20240302.000000.nc,sgpceilC1.b1.20240302.000003.nc
2024-03-19,dawn,2024-03-19T11:29:30.480037Z,2024-03-19T12:19:33.425959Z,2024-03-19T12:09:33.425959Z,2024-03-19T12:04:33.922408Z,2024-03-19T11:59:34.098623Z,2024-03-19T11:39:30.480037Z,sgpsondewnpnC1.b1.20240319.113100.cdf,25.1,-17.84026647376869,0.724826463267475,116.72141825882002,moon_alt<=-10deg,sgpsaszevisC1.a1.20240319.000001.nc,sgphsrlC1.a1.20240319.000000.nc,sgprlprofbeC1.c1.20240319.000500.nc,sgparsclkazr1kolliasC1.c0.20240319.000000.nc,sgpceilC1.b1.20240319.000000.nc
2024-04-18,dawn,2024-04-18T10:43:15.534196Z,2024-04-18T11:35:14.161481Z,2024-04-18T11:25:14.161481Z,2024-04-18T11:19:58.733749Z,2024-04-18T11:14:41.721892Z,2024-04-18T10:53:15.534196Z,sgpsondewnpnC1.b1.20240418.113000.cdf,10.0,-18.01725248610345,0.7470950918218602,119.61636429782222,moon_alt<=-10deg,sgpsaszevisC1.a1.20240418.000001.nc,sgphsrlC1.a1.20240418.000030.nc,sgprlprofbeC1.c1.20240418.000500.nc,sgparsclkazr1kolliasC1.c0.20240418.000000.nc,sgpceilC1.b1.20240418.000003.nc
2024-02-28,dusk,2024-02-29T00:38:58.649349Z,2024-02-29T01:28:57.257372Z,2024-02-29T00:48:58.649349Z,2024-02-29T00:53:59.071913Z,2024-02-29T00:58:59.165708Z,2024-02-29T01:18:57.257372Z,sgpsondewnpnC1.b1.20240228.233100.cdf,-6.5,-40.64756178029458,0.8283434384080952,131.04768198566177,moon_alt<=-10deg,sgpsaszevisC1.a1.20240229.000001.nc,sgphsrlC1.a1.20240229.000000.nc,sgprlprofbeC1.c1.20240229.000500.nc,sgparsclkazr1kolliasC1.c0.20240229.000000.nc,sgpceilC1.b1.20240229.000007.nc
2024-02-20,dawn,2024-02-20T12:07:06.898751Z,2024-02-20T12:57:14.493438Z,2024-02-20T12:47:14.493438Z,2024-02-20T12:42:11.916715Z,2024-02-20T12:37:09.933647Z,2024-02-20T12:17:06.898751Z,sgpsondewnpnC1.b1.20240220.113200.cdf,12.1,-12.52123447417476,0.8575482288282499,135.65110477366332,moon_alt<=-10deg,sgpsaszevisC1.a1.20240220.000001.nc,sgphsrlC1.a1.20240220.000030.nc,sgprlprofbeC1.c1.20240220.000500.nc,sgparsclkazr1kolliasC1.c0.20240220.000000.nc,sgpceilC1.b1.20240220.000010.nc
2024-04-20,dawn,2024-04-20T10:40:18.424670Z,2024-04-20T11:32:29.126894Z,2024-04-20T11:22:29.126894Z,2024-04-20T11:17:11.968814Z,2024-04-20T11:11:53.123031Z,2024-04-20T10:50:18.424670Z,sgpsondewnpnC1.b1.20240420.112300.cdf,5.8,-10.582332253992565,0.8901020924828886,141.2792741877106,moon_alt<=-10deg,sgpsaszevisC1.a1.20240420.114809.nc,sgphsrlC1.a1.20240420.000030.nc,sgprlprofbeC1.c1.20240420.000500.nc,sgparsclkazr1kolliasC1.c0.20240420.000000.nc,sgpceilC1.b1.20240420.000015.nc
2024-02-26,dusk,2024-02-27T00:37:03.947257Z,2024-02-27T01:27:04.559623Z,2024-02-27T00:47:03.947257Z,2024-02-27T00:52:04.863095Z,2024-02-27T00:57:05.386053Z,2024-02-27T01:17:04.559623Z,sgpsondewnpnC1.b1.20240226.232800.cdf,-7.9,-19.147216506592752,0.9446130422247,152.77615754741564,moon_alt<=-10deg,sgpsaszevisC1.a1.20240227.000001.nc,sgphsrlC1.a1.20240227.000030.nc,sgprlprofbeC1.c1.20240227.000500.nc,sgparsclkazr1kolliasC1.c0.20240227.000000.nc,sgpceilC1.b1.20240227.000012.nc
